date,simple_v1,paper_v1,paper_v2
2024-01-04,0.00918600,-0.00172700,0.00205900
2024-01-05,0.01494845,-0.00194263,0.00172732
2024-01-09,0.01746654,0.00158052,0.00948870
2024-01-10,0.02258134,0.00332527,0.01012266
2024-01-11,0.02279200,0.00473093,0.00843071
2024-01-12,0.02993415,0.00775014,0.01001596
2024-01-15,0.03367384,0.01115835,0.01141382
2024-01-16,0.04200629,0.02171283,0.01092328
2024-01-17,0.04635145,0.02636468,0.01090104
2024-01-18,0.04691648,0.02590077,0.01013175
2024-01-19,0.05015041,0.02566789,0.00788219
2024-01-22,0.04807531,0.02482992,0.00636532
2024-01-23,0.04623175,0.02135984,0.00498258
2024-01-24,0.04780109,0.02039159,0.00047322
2024-01-25,0.04287433,0.02271911,-0.00138466
2024-01-26,0.03878522,0.02232127,-0.00317418
2024-01-29,0.04076930,0.01824016,-0.00105393
2024-01-30,0.04247721,0.01731153,-0.00189804
2024-01-31,0.03997005,0.01993924,-0.00097779
2024-02-01,0.03891552,0.02138552,-0.00037838
2024-02-02,0.03974769,0.01813036,-0.00097815
2024-02-05,0.03248921,0.01830752,-0.00127386
2024-02-06,0.03247476,0.02160378,0.00021225
2024-02-07,0.03575183,0.02116755,0.00299084
2024-02-08,0.03813820,0.01884644,0.00047734
2024-02-09,0.04209351,0.01922341,0.00128172
2024-02-13,0.04615142,0.02464262,0.00262745
2024-02-14,0.04609388,0.02184330,0.00209906
2024-02-15,0.04683243,0.02660305,0.00180344
2024-02-16,0.05816125,0.03496781,0.00429393
2024-02-19,0.05986065,0.04016956,0.00705473
2024-02-20,0.06020299,0.03417402,0.01066301
2024-02-21,0.06205516,0.03665914,0.01426703
2024-02-22,0.06506078,0.03669749,0.01658869
2024-02-26,0.06501285,0.03643728,0.02066216
2024-02-27,0.06406392,0.03731826,0.02307296
2024-02-28,0.06943213,0.03969890,0.02772181
2024-02-29,0.06984707,0.03380589,0.02851418
2024-03-01,0.07802284,0.03828227,0.03621055
2024-03-04,0.07999993,0.04469158,0.03898967
2024-03-05,0.07608493,0.04472188,0.03514645
2024-03-06,0.07669938,0.04520663,0.03293951
2024-03-07,0.08189014,0.04412066,0.03537932
2024-03-08,0.08625016,0.04552605,0.03761781
2024-03-11,0.07421234,0.04496042,0.02693553
2024-03-12,0.07857686,0.04115885,0.02992083
2024-03-13,0.07829104,0.04058309,0.03315890
2024-03-14,0.07987074,0.04289631,0.02940234
2024-03-15,0.08293217,0.04758934,0.03066747
2024-03-18,0.06924499,0.04348279,0.03273293
2024-03-19,0.06434464,0.04365914,0.02667079
2024-03-21,0.06877231,0.03680125,0.02992636
2024-03-22,0.06889308,0.03587850,0.02839383
2024-03-25,0.06901708,0.03679422,0.03218244
2024-03-26,0.06834894,0.03368176,0.02710410
2024-03-27,0.06824317,0.03209609,0.02705685
2024-03-28,0.06835107,0.02222616,0.02328242
2024-03-29,0.07228794,0.02505261,0.02388513
2024-04-01,0.06504678,0.02617197,0.02148002
2024-04-02,0.07179385,0.03092725,0.02087020
2024-04-03,0.07400925,0.03277571,0.02253524
