date,simple_v1,paper_v1,paper_v2
2024-01-04,0.00918600,-0.00172700,0.00205900
2024-01-05,0.00571000,-0.00021600,-0.00033100
2024-01-09,0.00248100,0.00353000,0.00774800
2024-01-10,0.00502700,0.00174200,0.00062800
2024-01-11,0.00020600,0.00140100,-0.00167500
2024-01-12,0.00698300,0.00300500,0.00157200
2024-01-15,0.00363100,0.00338200,0.00138400
2024-01-16,0.00806100,0.01043800,-0.00048500
2024-01-17,0.00417000,0.00455300,-0.00002200
2024-01-18,0.00054000,-0.00045200,-0.00076100
2024-01-19,0.00308900,-0.00022700,-0.00222700
2024-01-22,-0.00197600,-0.00081700,-0.00150500
2024-01-23,-0.00175900,-0.00338600,-0.00137400
2024-01-24,0.00150000,-0.00094800,-0.00448700
2024-01-25,-0.00470200,0.00228100,-0.00185700
2024-01-26,-0.00392100,-0.00038900,-0.00179200
2024-01-29,0.00191000,-0.00399200,0.00212700
2024-01-30,0.00164100,-0.00091200,-0.00084500
2024-01-31,-0.00240500,0.00258300,0.00092200
2024-02-01,-0.00101400,0.00141800,0.00060000
2024-02-02,0.00080100,-0.00318700,-0.00060000
2024-02-05,-0.00698100,0.00017400,-0.00029600
2024-02-06,-0.00001400,0.00323700,0.00148800
2024-02-07,0.00317400,-0.00042700,0.00277800
2024-02-08,0.00230400,-0.00227300,-0.00250600
2024-02-09,0.00381000,0.00037000,0.00080400
2024-02-13,0.00389400,0.00531700,0.00134400
2024-02-14,-0.00005500,-0.00273200,-0.00052700
2024-02-15,0.00070600,0.00465800,-0.00029500
2024-02-16,0.01082200,0.00814800,0.00248600
2024-02-19,0.00160600,0.00502600,0.00274900
2024-02-20,0.00032300,-0.00576400,0.00358300
2024-02-21,0.00174700,0.00240300,0.00356600
2024-02-22,0.00283000,0.00003700,0.00228900
2024-02-26,-0.00004500,-0.00025100,0.00400700
2024-02-27,-0.00089100,0.00085000,0.00236200
2024-02-28,0.00504500,0.00229500,0.00454400
2024-02-29,0.00038800,-0.00566800,0.00077100
2024-03-01,0.00764200,0.00433000,0.00748300
2024-03-04,0.00183400,0.00617300,0.00268200
2024-03-05,-0.00362500,0.00002900,-0.00369900
2024-03-06,0.00057100,0.00046400,-0.00213200
2024-03-07,0.00482100,-0.00103900,0.00236200
2024-03-08,0.00403000,0.00134600,0.00216200
2024-03-11,-0.01108200,-0.00054100,-0.01029500
2024-03-12,0.00406300,-0.00363800,0.00290700
2024-03-13,-0.00026500,-0.00055300,0.00314400
2024-03-14,0.00146500,0.00222300,-0.00363600
2024-03-15,0.00283500,0.00450000,0.00122900
2024-03-18,-0.01263900,-0.00392000,0.00200400
2024-03-19,-0.00458300,0.00016900,-0.00587000
2024-03-21,0.00416000,-0.00657100,0.00317100
2024-03-22,0.00011300,-0.00089000,-0.00148800
